,Unnamed: 0,Unnamed: 0.1,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas,clase
12920,58726,58726,30158,2019,3,11,19.47,-96.46,29.56738,21.11386,29.56738,21.11386,24.52597,24.52597,1
12921,58733,58733,30159,2019,3,11,18.47,-95.58,31.95074,21.76562,31.95074,21.76562,26.1571,26.1571,1
12922,58740,58740,30160,2019,3,11,21.89,-98.29,31.96835,20.84717,31.96835,20.84717,25.47116,25.47116,1
12923,58747,58747,30161,2019,3,11,18.47,-95.3,29.7005,21.96375,29.7005,21.96375,25.28705,25.28705,1
12924,58754,58754,30162,2019,3,11,17.66,-95.74,32.79581,20.15076,32.79581,20.15076,25.9379,25.9379,1
12925,58761,58761,30163,2019,3,11,19.05,-96.43,32.3161,21.56375,32.3161,21.56375,25.91614,25.91614,1
12926,58768,58768,30164,2019,3,11,18.91,-97.02,28.48676,14.12915,28.48676,14.12915,20.35025,20.35025,2
12927,58775,58775,30165,2019,3,11,19.34,-96.49,30.16672,20.65781,30.16672,20.65781,24.53549,24.53549,1
12928,58782,58782,30166,2019,3,11,22.22,-98.0,30.33148,21.04865,30.33148,21.04865,24.88461,24.88461,1
12929,58789,58789,30167,2019,3,11,17.87,-94.09,30.81616,20.77869,30.81616,20.77869,25.4624,25.4624,1
12930,58796,58796,30168,2019,3,11,21.33,-97.83,31.46536,21.43579,31.46536,21.43579,25.54291,25.54291,1
12931,58803,58803,30169,2019,3,11,21.35,-98.23,33.35104,20.88629,33.35104,20.88629,26.01971,26.01971,1
12932,58810,58810,30170,2019,3,11,18.53,-95.3,29.25488,22.14722,29.25488,22.14722,25.18872,25.18872,1
12933,58817,58817,30171,2019,3,11,20.48,-97.01,29.4924,22.21835,29.4924,22.21835,25.26733,25.26733,1
12934,58824,58824,30172,2019,3,11,17.79,-94.2,30.61127,20.73599,30.61127,20.73599,25.35825,25.35825,1
12935,58831,58831,30173,2019,3,11,20.14,-97.54,31.31418,15.25259,31.31418,15.25259,22.7507,22.7507,1
12936,58838,58838,30174,2019,3,11,18.52,-97.06,27.66406,14.60815,27.66406,14.60815,20.26688,20.26688,2
12937,58845,58845,30175,2019,3,11,19.51,-97.12,28.2662,13.01227,28.2662,13.01227,19.92499,19.92499,2
12938,58852,58852,30176,2019,3,11,21.52,-98.41,33.67807,21.0242,33.67807,21.0242,26.23444,26.23444,1
12939,58859,58859,30177,2019,3,11,19.25,-96.88,29.53625,15.12692,29.53625,15.12692,21.3298,21.3298,1
12940,58866,58866,30178,2019,3,11,19.49,-97.26,26.30109,9.7551,26.30109,9.7551,17.57373,17.57373,2
12941,58873,58873,30179,2019,3,11,19.39,-96.97,29.37909,14.81839,29.37909,14.81839,21.16449,21.16449,2
12942,58880,58880,30180,2019,3,11,21.04,-98.14,33.1001,20.18845,33.1001,20.18845,25.69254,25.69254,1
12943,58887,58887,30181,2019,3,11,19.05,-97.13,27.37866,12.05792,27.37866,12.05792,18.88052,18.88052,2
12944,58894,58894,30182,2019,3,11,18.45,-96.37,33.85327,22.12241,33.85327,22.12241,27.15424,27.15424,1
12945,58901,58901,30183,2019,3,11,18.61,-95.66,30.97693,22.1181,30.97693,22.1181,25.9003,25.9003,1
12946,58908,58908,30184,2019,3,11,18.8,-96.06,32.99518,22.93167,32.99518,22.93167,27.06921,27.06921,1
12947,58915,58915,30185,2019,3,11,18.25,-95.36,31.59222,21.48181,31.59222,21.48181,25.90503,25.90503,1
12948,58922,58922,30186,2019,3,11,19.5,-97.34,25.50305,8.45032,25.50305,8.45032,16.64062,16.64062,0
12949,58929,58929,30187,2019,3,11,19.21,-96.96,29.28616,14.76489,29.28616,14.76489,21.03943,21.03943,2
12950,58936,58936,30189,2019,3,11,18.47,-95.44,31.21432,21.8382,31.21432,21.8382,25.87576,25.87576,1
12951,58943,58943,30191,2019,3,11,20.02,-96.65,28.96741,20.40427,28.96741,20.40427,24.03574,24.03574,1
12952,58950,58950,30193,2019,3,11,19.37,-96.37,30.14026,22.30075,30.14026,22.30075,25.39154,25.39154,1
12953,58957,58957,30194,2019,3,11,22.18,-97.85,28.36243,21.60574,28.36243,21.60574,24.40121,24.40121,1
12954,58964,58964,30195,2019,3,11,19.48,-96.78,29.69742,15.91983,29.69742,15.91983,21.85403,21.85403,1
12955,58971,58971,30196,2019,3,11,18.03,-95.53,33.59137,21.16104,33.59137,21.16104,26.69806,26.69806,1
12956,58978,58978,30197,2019,3,11,18.66,-96.71,29.2973,16.755,29.2973,16.755,22.10315,22.10315,1
12957,58985,58985,30199,2019,3,11,19.44,-96.42,29.69275,21.71069,29.69275,21.71069,24.89206,24.89206,1
12958,58992,58992,30200,2019,3,11,18.67,-97.0,28.17908,15.05713,28.17908,15.05713,20.70688,20.70688,2
12959,58999,58999,30201,2019,3,11,18.77,-95.76,29.75867,22.57593,29.75867,22.57593,25.59964,25.59964,1
12960,59006,59006,30202,2019,3,11,18.45,-95.75,32.39828,21.85089,32.39828,21.85089,26.3978,26.3978,1
12961,59013,59013,30203,2019,3,11,22.15,-98.17,31.043,20.81183,31.043,20.81183,25.05618,25.05618,1
12962,59020,59020,30204,2019,3,11,18.41,-95.12,28.40341,21.95776,28.40341,21.95776,24.72742,24.72742,1
12963,59027,59027,30206,2019,3,11,19.07,-97.03,28.63409,13.86588,28.63409,13.86588,20.29047,20.29047,2
12964,59034,59034,30207,2019,3,11,20.97,-98.17,32.63089,19.69693,32.63089,19.69693,25.26477,25.26477,1
12965,59041,59041,30209,2019,3,11,19.36,-97.12,28.0542,12.7179,28.0542,12.7179,19.62851,19.62851,2
12966,59048,59048,30211,2019,3,11,19.64,-97.11,28.7872,14.08167,28.7872,14.08167,20.70703,20.70703,2
12967,59055,59055,30212,2019,3,11,18.81,-97.28,25.40637,9.32715,25.40637,9.32715,16.67371,16.67371,0
12968,59062,59062,30213,2019,3,11,20.07,-97.05,30.24353,18.63171,30.24353,18.63171,23.72406,23.72406,1
12969,59069,59069,30214,2019,3,11,18.07,-94.41,29.15604,21.41583,29.15604,21.41583,25.06619,25.06619,1
12970,59076,59076,30216,2019,3,11,18.65,-95.53,30.34387,22.20844,30.34387,22.20844,25.67667,25.67667,1
12971,59083,59083,30219,2019,3,11,19.92,-97.22,29.91724,15.08685,29.91724,15.08685,21.97009,21.97009,1
12972,59090,59090,30220,2019,3,11,21.98,-97.99,30.41589,20.94934,30.41589,20.94934,24.87991,24.87991,1
12973,59097,59097,30221,2019,3,11,17.88,-95.15,31.79529,20.86649,31.79529,20.86649,25.67316,25.67316,1
12974,59104,59104,30222,2019,3,11,19.88,-96.5,27.63498,21.53879,27.63498,21.53879,24.06702,24.06702,1
12975,59111,59111,30223,2019,3,11,18.64,-95.4,29.69791,22.26352,29.69791,22.26352,25.4364,25.4364,1
12976,59118,59118,30224,2019,3,11,17.43,-95.02,33.19287,21.10846,33.19287,21.10846,26.51877,26.51877,1
12977,59125,59125,30225,2019,3,11,18.98,-96.71,29.95575,16.33472,29.95575,16.33472,22.10513,22.10513,1
12978,59132,59132,30227,2019,3,11,18.82,-97.02,28.37933,14.41586,28.37933,14.41586,20.45541,20.45541,2
12979,59139,59139,30228,2019,3,11,19.52,-96.9,29.70123,15.54276,29.70123,15.54276,21.68961,21.68961,1
12980,59146,59146,30229,2019,3,11,20.95,-97.44,31.71457,21.45261,31.71457,21.45261,25.6189,25.6189,1
12981,59153,59153,30241,2019,3,11,19.47,-96.79,29.69934,15.84421,29.69934,15.84421,21.81406,21.81406,1
12982,59160,59160,30242,2019,3,11,22.11,-97.84,28.29028,21.6207,28.29028,21.6207,24.38623,24.38623,1
12983,59167,59167,30245,2019,3,11,21.86,-97.77,27.9426,21.96381,27.9426,21.96381,24.42725,24.42725,1
12984,59174,59174,30257,2019,3,11,19.41,-96.36,29.87982,22.34924,29.87982,22.34924,25.30664,25.30664,1
12985,59181,59181,30260,2019,3,11,21.45,-98.41,33.6221,20.84756,33.6221,20.84756,26.12454,26.12454,1
12986,59188,59188,30261,2019,3,11,20.92,-98.17,32.36935,19.49066,32.36935,19.49066,25.04773,25.04773,1
12987,59195,59195,30263,2019,3,11,18.77,-95.77,29.82059,22.58221,29.82059,22.58221,25.62778,25.62778,1
12988,59202,59202,30264,2019,3,11,18.45,-96.36,33.92227,22.1951,33.92227,22.1951,27.22586,27.22586,1
12989,59209,59209,30265,2019,3,11,17.25,-94.61,32.07181,20.21826,32.07181,20.21826,25.66779,25.66779,1
12990,59216,59216,30266,2019,3,11,19.45,-96.54,29.6283,19.63013,29.6283,19.63013,23.77219,23.77219,1
12991,59223,59223,30267,2019,3,11,19.61,-96.9,29.80023,16.02133,29.80023,16.02133,21.9913,21.9913,1
12992,59230,59230,30268,2019,3,11,22.32,-98.15,30.98273,20.99905,30.98273,20.99905,25.10962,25.10962,1
12993,59237,59237,30269,2019,3,11,18.77,-96.12,33.60971,22.94846,33.60971,22.94846,27.34558,27.34558,1
12994,59244,59244,30270,2019,3,11,17.58,-94.1,31.49991,20.4119,31.49991,20.4119,25.58987,25.58987,1
12995,59251,59251,30281,2019,3,11,17.27,-94.51,31.67847,20.02753,31.67847,20.02753,25.41107,25.41107,1
12996,59258,59258,30287,2019,3,11,17.21,-94.72,32.77194,20.55502,32.77194,20.55502,26.13202,26.13202,1
12997,59265,59265,30292,2019,3,11,17.28,-94.37,31.49252,19.93463,31.49252,19.93463,25.29114,25.29114,1
12998,59272,59272,30293,2019,3,11,18.23,-94.87,29.29434,21.49731,29.29434,21.49731,24.89368,24.89368,1
12999,59279,59279,30294,2019,3,11,18.5,-95.04,27.80246,22.11868,27.80246,22.11868,24.55228,24.55228,1
13000,59286,59286,30295,2019,3,11,18.91,-96.68,30.08099,16.77655,30.08099,16.77655,22.40344,22.40344,1
13001,59293,59293,30296,2019,3,11,19.02,-96.79,29.68289,15.51724,29.68289,15.51724,21.55402,21.55402,1
13002,59300,59300,30297,2019,3,11,19.02,-96.67,30.32922,16.87531,30.32922,16.87531,22.55646,22.55646,1
13003,59307,59307,30299,2019,3,11,18.73,-97.33,25.26743,8.98618,25.26743,8.98618,16.42374,16.42374,0
13004,59314,59314,30301,2019,3,11,22.03,-98.34,31.98373,20.85492,31.98373,20.85492,25.51736,25.51736,1
13005,59321,59321,30302,2019,3,11,18.44,-95.18,28.61401,21.9996,28.61401,21.9996,24.83917,24.83917,1
13006,59328,59328,30304,2019,3,11,21.74,-98.16,32.27979,20.96909,32.27979,20.96909,25.60156,25.60156,1
13007,59335,59335,30306,2019,3,11,19.76,-96.67,29.47864,18.57629,29.47864,18.57629,23.22437,23.22437,1
13008,59342,59342,30307,2019,3,11,20.75,-97.63,32.83209,20.79065,32.83209,20.79065,25.81577,25.81577,1
13009,59349,59349,30311,2019,3,11,19.33,-96.99,29.25516,14.64899,29.25516,14.64899,21.01605,21.01605,2
13010,59356,59356,30317,2019,3,11,21.68,-97.69,28.16434,22.21417,28.16434,22.21417,24.63937,24.63937,1
13011,59363,59363,30319,2019,3,11,21.49,-97.91,32.06802,21.47061,32.06802,21.47061,25.76855,25.76855,1
13012,59370,59370,30322,2019,3,11,20.62,-97.61,33.38632,20.509,33.38632,20.509,25.94965,25.94965,1
13013,59377,59377,30325,2019,3,11,21.81,-98.01,31.36707,21.01147,31.36707,21.01147,25.27075,25.27075,1
13014,59384,59384,30327,2019,3,11,17.57,-94.16,31.40491,20.42621,31.40491,20.42621,25.54303,25.54303,1
13015,59391,59391,30329,2019,3,11,21.47,-97.92,32.18829,21.42621,32.18829,21.42621,25.79556,25.79556,1
