,Unnamed: 0,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
28245,28245,31063,2019,3,1,20.4,-89.56,34.95609,20.5238,34.95609,20.5238,27.2865,27.2865
28252,28252,31064,2019,3,1,20.5,-89.59,35.013,20.70761,35.013,20.70761,27.42712,27.42712
28259,28259,31065,2019,3,1,20.81,-89.45,34.98697,21.24664,34.98697,21.24664,27.81653,27.81653
28266,28266,31068,2019,3,1,20.99,-87.78,32.93204,20.74615,32.93204,20.74615,26.10117,26.10117
28273,28273,31069,2019,3,1,20.65,-87.94,33.35007,20.03156,33.35007,20.03156,26.02557,26.02557
28280,28280,31070,2019,3,1,20.82,-89.24,34.98578,21.14871,34.98578,21.14871,27.76526,27.76526
28287,28287,31071,2019,3,1,20.76,-88.93,34.72269,20.44928,34.72269,20.44928,27.21121,27.21121
28294,28294,31072,2019,3,1,20.41,-89.29,34.89209,20.24524,34.89209,20.24524,27.08209,27.08209
28301,28301,31073,2019,3,1,20.07,-89.04,34.64563,20.44836,34.64563,20.44836,26.82263,26.82263
28308,28308,31074,2019,3,1,21.02,-88.18,33.95499,20.55273,33.95499,20.55273,26.61804,26.61804
28315,28315,31075,2019,3,1,20.76,-87.87,33.16342,20.38239,33.16342,20.38239,26.08856,26.08856
28322,28322,31077,2019,3,1,20.64,-90.22,33.83084,22.44144,33.83084,22.44144,27.96747,27.96747
28329,28329,31078,2019,3,1,21.05,-89.65,34.08109,22.29062,34.08109,22.29062,27.98065,27.98065
28336,28336,31082,2019,3,1,21.12,-88.64,33.82596,21.11813,33.82596,21.11813,27.17462,27.17462
28343,28343,31083,2019,3,1,21.41,-88.51,31.68176,21.90796,31.68176,21.90796,26.62656,26.62656
28350,28350,31084,2019,3,1,20.97,-87.91,33.5549,20.55209,33.5549,20.55209,26.34967,26.34967
28357,28357,31085,2019,3,1,19.86,-89.3,34.60141,19.91409,34.60141,19.91409,26.68588,26.68588
28364,28364,31086,2019,3,1,20.86,-87.87,33.29639,20.5116,33.29639,20.5116,26.20245,26.20245
28371,28371,31088,2019,3,1,20.69,-88.58,34.51276,20.1246,34.51276,20.1246,26.87796,26.87796
28378,28378,31089,2019,3,1,21.24,-87.94,32.88245,20.91006,32.88245,20.91006,26.36246,26.36246
28385,28385,31090,2019,3,1,20.75,-89.83,34.6456,22.10419,34.6456,22.10419,28.09039,28.09039
28392,28392,31091,2019,3,1,21.14,-89.46,33.47278,22.3107,33.47278,22.3107,27.71185,27.71185
28399,28399,31094,2019,3,1,21.26,-89.05,32.26727,22.27948,32.26727,22.27948,27.10794,27.10794
28406,28406,31098,2019,3,1,21.02,-89.23,34.57144,21.70871,34.57144,21.70871,27.92792,27.92792
28413,28413,31100,2019,3,1,20.74,-89.32,34.99774,20.96521,34.99774,20.96521,27.63455,27.63455
28420,28420,31105,2019,3,1,21.16,-88.96,33.55212,21.51331,33.55212,21.51331,27.30106,27.30106
28427,28427,32001,2019,3,1,23.78,-102.16,28.10153,8.85355,28.10153,8.85355,17.92905,17.92905
28434,28434,32002,2019,3,1,22.82,-102.95,27.21539,7.10318,27.21539,7.10318,16.4267,16.4267
28441,28441,32003,2019,3,1,22.91,-102.66,27.25516,7.98126,27.25516,7.98126,16.87595,16.87595
28448,28448,32005,2019,3,1,23.6,-102.73,27.65695,8.69061,27.65695,8.69061,17.68112,17.68112
28455,28455,32006,2019,3,1,23.69,-103.09,27.53494,8.74075,27.53494,8.74075,17.42542,17.42542
28462,28462,32007,2019,3,1,24.68,-101.77,29.03857,10.46265,29.03857,10.46265,18.54102,18.54102
28469,28469,32009,2019,3,1,22.65,-103.0,27.60837,7.56213,27.60837,7.56213,16.80939,16.80939
28476,28476,32010,2019,3,1,24.78,-102.18,29.46811,10.3559,29.46811,10.3559,19.00275,19.00275
28483,28483,32011,2019,3,1,23.84,-101.96,28.46893,9.1958,28.46893,9.1958,18.18533,18.18533
28490,28490,32012,2019,3,1,23.48,-103.89,26.69061,7.51382,26.69061,7.51382,16.14154,16.14154
28497,28497,32013,2019,3,1,22.0,-102.89,28.61145,8.61093,28.61145,8.61093,17.83832,17.83832
28504,28504,32015,2019,3,1,22.44,-101.79,27.90137,8.94067,27.90137,8.94067,17.44162,17.44162
28511,28511,32016,2019,3,1,22.61,-104.05,29.55804,9.26456,29.55804,9.26456,18.16888,18.16888
28518,28518,32017,2019,3,1,21.75,-103.05,29.21515,9.16583,29.21515,9.16583,18.4476,18.4476
28525,28525,32018,2019,3,1,23.28,-103.11,27.10254,7.28357,27.10254,7.28357,16.53851,16.53851
28532,28532,32019,2019,3,1,21.65,-103.34,29.88641,9.5,29.88641,9.5,18.896,18.896
28539,28539,32020,2019,3,1,23.17,-102.89,27.11926,7.3425,27.11926,7.3425,16.56473,16.56473
28546,28546,32021,2019,3,1,23.96,-103.45,27.30432,9.31805,27.30432,9.31805,17.37262,17.37262
28553,28553,32022,2019,3,1,24.21,-101.92,28.81619,9.8511,28.81619,9.8511,18.41605,18.41605
28560,28560,32024,2019,3,1,22.4,-101.83,27.84521,8.95221,27.84521,8.95221,17.40176,17.40176
28567,28567,32025,2019,3,1,21.77,-102.97,29.11697,9.10019,29.11697,9.10019,18.35992,18.35992
28574,28574,32026,2019,3,1,22.64,-103.0,27.62799,7.59018,27.62799,7.59018,16.83093,16.83093
28581,28581,32027,2019,3,1,23.25,-103.81,26.87915,7.56461,26.87915,7.56461,16.2608,16.2608
28588,28588,32028,2019,3,1,24.28,-103.4,27.96878,10.22137,27.96878,10.22137,18.05023,18.05023
28595,28595,32029,2019,3,1,21.41,-103.11,30.06943,9.71695,30.06943,9.71695,19.15771,19.15771
28602,28602,32032,2019,3,1,21.61,-103.34,29.96469,9.52542,29.96469,9.52542,18.95355,18.95355
28609,28609,32033,2019,3,1,22.27,-101.99,27.7106,8.95087,27.7106,8.95087,17.2681,17.2681
28616,28616,32034,2019,3,1,23.74,-103.39,27.25562,8.70209,27.25562,8.70209,17.146,17.146
28623,28623,32036,2019,3,1,24.64,-101.56,28.54205,10.56693,28.54205,10.56693,18.2218,18.2218
28630,28630,32037,2019,3,1,22.31,-103.56,29.34747,9.39673,29.34747,9.39673,18.23367,18.23367
28637,28637,32038,2019,3,1,24.0,-103.02,27.8588,9.81232,27.8588,9.81232,18.01794,18.01794
28644,28644,32039,2019,3,1,21.36,-102.85,29.77509,9.87482,29.77509,9.87482,19.04132,19.04132
28651,28651,32040,2019,3,1,24.23,-102.15,28.6012,9.49677,28.6012,9.49677,18.27936,18.27936
28658,28658,32041,2019,3,1,22.58,-102.27,27.24606,7.93021,27.24606,7.93021,16.77429,16.77429
28665,28665,32042,2019,3,1,22.35,-102.8,27.6897,7.87094,27.6897,7.87094,16.98013,16.98013
28672,28672,32043,2019,3,1,22.27,-101.61,28.07114,9.2081,28.07114,9.2081,17.53384,17.53384
28679,28679,32045,2019,3,1,23.82,-103.03,27.70996,9.31848,27.70996,9.31848,17.74667,17.74667
28686,28686,32046,2019,3,1,23.58,-103.26,27.30154,8.21854,27.30154,8.21854,17.05865,17.05865
28693,28693,32047,2019,3,1,22.94,-102.49,27.33636,8.27551,27.33636,8.27551,17.06482,17.06482
28700,28700,32048,2019,3,1,23.9,-101.72,28.48428,9.5011,28.48428,9.5011,18.23325,18.23325
28707,28707,32049,2019,3,1,24.33,-102.89,28.53329,10.33319,28.53329,10.33319,18.58646,18.58646
28714,28714,32050,2019,3,1,24.2,-102.98,28.21545,10.2395,28.21545,10.2395,18.35342,18.35342
28721,28721,32051,2019,3,1,22.45,-102.35,27.19595,7.69025,27.19595,7.69025,16.62259,16.62259
28728,28728,32052,2019,3,1,24.59,-102.11,29.03522,10.30157,29.03522,10.30157,18.62421,18.62421
28735,28735,32053,2019,3,1,22.93,-103.11,26.98804,6.61694,26.98804,6.61694,16.0968,16.0968
28742,28742,32054,2019,3,1,23.64,-103.64,26.6615,7.98709,26.6615,7.98709,16.38,16.38
28749,28749,32055,2019,3,1,22.1,-102.87,28.40573,8.41577,28.40573,8.41577,17.62808,17.62808
28756,28756,32056,2019,3,1,21.47,-103.45,30.67493,9.82642,30.67493,9.82642,19.41928,19.41928
28763,28763,32057,2019,3,1,21.77,-103.31,29.49728,9.34711,29.49728,9.34711,18.62045,18.62045
28770,28770,32058,2019,3,1,22.75,-102.37,27.22229,7.98444,27.22229,7.98444,16.84546,16.84546
28777,28777,32059,2019,3,1,23.29,-102.34,27.64874,8.74683,27.64874,8.74683,17.65051,17.65051
28784,28784,32060,2019,3,1,22.15,-101.95,27.67136,9.12625,27.67136,9.12625,17.24124,17.24124
28791,28791,32061,2019,3,1,22.35,-101.72,27.93387,9.04016,27.93387,9.04016,17.45526,17.45526
28798,28798,32062,2019,3,1,22.35,-102.88,27.88483,8.02411,27.88483,8.02411,17.15845,17.15845
28805,28805,32063,2019,3,1,22.78,-102.58,27.20212,7.9469,27.20212,7.9469,16.8114,16.8114
28812,28812,32065,2019,3,1,23.47,-103.88,26.68372,7.52753,26.68372,7.52753,16.14557,16.14557
28819,28819,32068,2019,3,1,22.28,-101.58,28.16528,9.23431,28.16528,9.23431,17.59641,17.59641
28826,28826,32069,2019,3,1,22.65,-104.1,29.64874,9.22272,29.64874,9.22272,18.21777,18.21777
28833,28833,32070,2019,3,1,21.47,-103.46,30.71454,9.84027,30.71454,9.84027,19.44116,19.44116
28840,28840,32071,2019,3,1,23.29,-102.35,27.64661,8.7511,27.64661,8.7511,17.65063,17.65063
28847,28847,32072,2019,3,1,22.17,-101.95,27.67871,9.10849,27.67871,9.10849,17.24872,17.24872
28854,28854,32073,2019,3,1,22.36,-102.89,27.88812,8.02615,27.88812,8.02615,17.16098,17.16098
28861,28861,32074,2019,3,1,23.94,-103.42,27.3783,9.37341,27.3783,9.37341,17.45395,17.45395
